file,n,c,d,f,p,u,k,s
sysadmin_inst_mdp_4_s=20_t=6,284,164,120,404,164,240,3,10
sysadmin_inst_mdp_4_s=20_t=7,328,188,140,468,188,280,3,10
sysadmin_inst_mdp_4_s=20_t=8,372,212,160,532,212,320,3,10
sysadmin_inst_mdp_4_s=20_t=9,416,236,180,596,236,360,3,10
sysadmin_inst_mdp_5_s=30_t=10,690,390,300,990,390,600,3,7
sysadmin_inst_mdp_5_s=30_t=3,228,138,90,318,138,180,3,7
sysadmin_inst_mdp_5_s=30_t=4,294,174,120,414,174,240,3,7
sysadmin_inst_mdp_5_s=30_t=5,360,210,150,510,210,300,3,7
sysadmin_inst_mdp_5_s=30_t=6,426,246,180,606,246,360,3,7
sysadmin_inst_mdp_5_s=30_t=7,492,282,210,702,282,420,3,7
sysadmin_inst_mdp_5_s=30_t=8,558,318,240,798,318,480,3,7
sysadmin_inst_mdp_5_s=30_t=9,624,354,270,894,354,540,3,7
sysadmin_inst_mdp_6_s=30_t=10,680,380,300,980,380,600,3,10
sysadmin_inst_mdp_6_s=30_t=3,225,135,90,315,135,180,3,10
sysadmin_inst_mdp_6_s=30_t=4,290,170,120,410,170,240,3,10
sysadmin_inst_mdp_6_s=30_t=5,355,205,150,505,205,300,3,10
sysadmin_inst_mdp_6_s=30_t=6,420,240,180,600,240,360,3,10
sysadmin_inst_mdp_6_s=30_t=7,485,275,210,695,275,420,3,10
sysadmin_inst_mdp_6_s=30_t=8,550,310,240,790,310,480,3,10
sysadmin_inst_mdp_6_s=30_t=9,615,345,270,885,345,540,3,10
sysadmin_inst_mdp_7_s=40_t=10,910,510,400,1310,510,800,3,8
sysadmin_inst_mdp_7_s=40_t=3,301,181,120,421,181,240,3,8
sysadmin_inst_mdp_7_s=40_t=4,388,228,160,548,228,320,3,8
sysadmin_inst_mdp_7_s=40_t=5,475,275,200,675,275,400,3,8
sysadmin_inst_mdp_7_s=40_t=6,562,322,240,802,322,480,3,8
sysadmin_inst_mdp_7_s=40_t=7,649,369,280,929,369,560,3,8
sysadmin_inst_mdp_7_s=40_t=8,736,416,320,1056,416,640,3,8
sysadmin_inst_mdp_7_s=40_t=9,823,463,360,1183,463,720,3,8
sysadmin_inst_mdp_8_s=40_t=10,900,500,400,1300,500,800,3,9
sysadmin_inst_mdp_8_s=40_t=3,298,178,120,418,178,240,3,9
sysadmin_inst_mdp_8_s=40_t=4,384,224,160,544,224,320,3,9
sysadmin_inst_mdp_8_s=40_t=5,470,270,200,670,270,400,3,9
sysadmin_inst_mdp_8_s=40_t=6,556,316,240,796,316,480,3,9
sysadmin_inst_mdp_8_s=40_t=7,642,362,280,922,362,560,3,9
sysadmin_inst_mdp_8_s=40_t=8,728,408,320,1048,408,640,3,9
sysadmin_inst_mdp_8_s=40_t=9,814,454,360,1174,454,720,3,9
sysadmin_inst_mdp_9_s=50_t=10,1140,640,500,1640,640,1000,3,8
sysadmin_inst_mdp_9_s=50_t=3,377,227,150,527,227,300,3,8
sysadmin_inst_mdp_9_s=50_t=4,486,286,200,686,286,400,3,8
sysadmin_inst_mdp_9_s=50_t=5,595,345,250,845,345,500,3,8
sysadmin_inst_mdp_9_s=50_t=6,704,404,300,1004,404,600,3,8
sysadmin_inst_mdp_9_s=50_t=7,813,463,350,1163,463,700,3,8
sysadmin_inst_mdp_9_s=50_t=8,922,522,400,1322,522,800,3,8
sysadmin_inst_mdp_9_s=50_t=9,1031,581,450,1481,581,900,3,8
sysadmin_mdp_a_s=2_t=3,17,11,6,23,11,12,3,4
sysadmin_mdp_a_s=3_t=3,24,15,9,33,15,18,3,4
